model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_type_textType1,average_region_bottom,average_length_short,average_size_large,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l,average_length_long,average_length_medium
azure_read,azure_read,azure_read,binarization,0.15126050420168066,0.3709677419354839,3.241128444671631,0.7777777777777778,0.7777777777777778,0.8666666666666667,0.7777777777777778,0.7328918322295805,0.6348385236119891,0.8526315739523547,0.6172839456241428,0.842105258162881,0.0,0.5
azure_read,azure_read,azure_read,denoising,0.15966386554621848,0.3188405797101449,10.435907125473022,0.7368421052631579,0.7368421052631579,0.8666666666666667,0.7368421052631579,0.7527593818984547,0.6813848721617342,0.8586387384622133,0.6666666616735254,0.8376963300852499,0.0,0.5
azure_read,azure_read,azure_read,denoising_binarization,0.20168067226890757,0.4,22.24190902709961,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7549668874172185,0.6680678060699612,0.8510638247894976,0.6416666616697918,0.8297872290448167,0.0,0.5
azure_read,azure_read,azure_read,no_preprocessing,0.19327731092436976,0.3684210526315789,3.804900884628296,0.7391304347826086,0.7391304347826086,0.8333333333333334,0.7391304347826086,0.7615894039735099,0.693657355954476,0.8723404205341784,0.6776859454186873,0.861702122661838,0.0,0.6666666666666666
azure_read,azure_read,azure_read,sharpening,0.18487394957983194,0.37333333333333335,3.1707966327667236,0.7727272727272727,0.7727272727272727,0.8823529411764706,0.7727272727272727,0.7704194260485651,0.6790261845172276,0.8631578897418283,0.6556016547552558,0.842105258162881,0.0,0.6666666666666666
azure_read,azure_read,azure_read,sharpening_binarization,0.18487394957983194,0.43478260869565216,7.570955038070679,0.7727272727272727,0.7727272727272727,0.8888888888888888,0.7727272727272727,0.7483443708609272,0.6629162079982925,0.8526315739523547,0.6611570197988527,0.842105258162881,0.0,0.3333333333333333
azure_read,azure_read,azure_read,sharpening_denoising,0.18487394957983194,0.3684210526315789,10.967930793762207,0.6818181818181818,0.6818181818181818,0.8235294117647058,0.6818181818181818,0.7615894039735099,0.6927858496000951,0.8723404205341784,0.6749999950031251,0.861702122661838,0.0,0.3333333333333333
azure_read,azure_read,azure_read,sharpening_denoising_binarization,0.20168067226890757,0.4,10.133944272994995,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7593818984547461,0.6623371138191113,0.8404255269171572,0.6416666616697918,0.8297872290448167,0.0,0.5
yolo_ocr,YOLOv5/YOLOv8,External OCR,binarization,0.008403361344537815,1.0,0.08721494674682617,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,binarization,0.008403361344537815,1.0,0.08084630966186523,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising,0.008403361344537815,1.0,8.307713985443115,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising,0.008403361344537815,1.0,7.086707353591919,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising_binarization,0.008403361344537815,1.0,7.972755432128906,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising_binarization,0.008403361344537815,1.0,8.009810209274292,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,no_preprocessing,0.008403361344537815,1.0,4.7200658321380615,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,no_preprocessing,0.008403361344537815,1.0,1.6644067764282227,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening,0.008403361344537815,1.0,0.31339526176452637,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening,0.008403361344537815,1.0,0.26072001457214355,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_binarization,0.008403361344537815,1.0,0.12253260612487793,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_binarization,0.008403361344537815,1.0,0.11754870414733887,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising,0.008403361344537815,1.0,7.996618270874023,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising,0.008403361344537815,1.0,8.167107105255127,1.0,1.0,1.0,1.0,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising_binarization,0.008403361344537815,1.0,8.51185941696167,1.0,1.0,1.0,1.0,0.008830022075055233,3.749607674807013e-27,0.04255319107288366,0.0,0.04255319107288366,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising_binarization,0.008403361344537815,1.0,7.895679235458374,1.0,1.0,1.0,1.0,0.008830022075055233,3.749607674807013e-27,0.04255319107288366,0.0,0.04255319107288366,,
